symbol,name,sector
PLUG,Plug Power Inc,Energy
NVAX,Novavax Inc,Biotechnology
SOFI,SoFi Technologies Inc,Technology
RUN,Sunrun Inc,Solar Energy
ARRY,Array Technologies Inc,Solar Energy
BLDP,Ballard Power Systems Inc,Energy
ENPH,Enphase Energy Inc,Solar Energy
SEDG,SolarEdge Technologies Inc,Solar Energy
BE,Bloom Energy Corp,Energy
FSLR,First Solar Inc,Solar Energy
INSM,Insmed Inc,Biotechnology
ARDX,Ardelyx Inc,Biotechnology
CRBU,Caribou Biosciences Inc,Biotechnology
KRYS,Krystal Biotech Inc,Biotechnology
STEM,Stem Inc,Technology
EVGO,EVgo Inc,Energy
IONQ,IonQ Inc,Technology
AEHR,Aehr Test Systems,Technology
ONTO,Onto Innovation Inc,Technology
AMPL,Amplitude Inc,Technology
AKRO,Akero Therapeutics Inc,Biotechnology
AVNS,Avanos Medical Inc,Biotechnology
ENVX,Enovix Corp,Technology
CLSK,CleanSpark Inc,Energy
DNMR,Danimer Scientific Inc,Biotechnology
ALLO,Allogene Therapeutics Inc,Biotechnology
APPF,AppFolio Inc,Technology
CELH,Celsius Holdings Inc,Energy
AMBA,Ambarella Inc,Technology
NVTS,Navitas Semiconductor Corp,Technology
SHLS,Shoals Technologies Group Inc,Solar Energy
RXRX,Recursion Pharmaceuticals Inc,Biotechnology
FATE,Fate Therapeutics Inc,Biotechnology
