symbol,name,sector
TLRY,Tilray Brands  Inc.,Healthcare
LAC,Lithium Americas Corp.,Basic Materials
SES,SES AI Corporation,Consumer Cyclical
WOLF,Wolfspeed  Inc.,Technology
RDW,Redwire Corporation,Industrials
HOUS,Anywhere Real Estate Inc.,Real Estate
NEOG,Neogen Corporation,Healthcare
HUN,Huntsman Corporation,Basic Materials
DX,Dynex Capital  Inc.,Real Estate
NRGV,Energy Vault Holdings  Inc.,Utilities
TIGR,UP Fintech Holding Limited,Financial Services
DNUT,Krispy Kreme  Inc.,Consumer Defensive
CTMX,CytomX Therapeutics  Inc.,Healthcare
EVH,Evolent Health  Inc.,Healthcare
LX,LexinFintech Holdings Ltd.,Financial Services
EVTL,Vertical Aerospace Ltd.,Industrials
SOFI,SOFI Technologies,Financial Services
NPWR,NET Power Inc.,Industrials
CABA,Cabaletta Bio  Inc.,Healthcare
AXL,American Axle & Manufacturing Holdings  Inc.,Consumer Cyclical
IRDM,Iridium Communications Inc.,Communication Services
ACDC,ProFrac Holding Corp.,Energy
AXTI,AXT  Inc.,Technology
TALO,Talos Energy Inc.,Energy
GOSS,Gossamer Bio  Inc.,Healthcare
TE,T1 Energy Inc.,Industrials
OMI,Owens & Minor  Inc.,Healthcare
HAIN,The Hain Celestial Group  Inc.,Consumer Defensive
BKSY,BlackSky Technology Inc.,Industrials
EVEX,Eve Holding  Inc.,Industrials
ANGX,Angel Studios  Inc.,Communication Services
TTI,TETRA Technologies  Inc.,Industrials
CTLP,Cantaloupe  Inc.,Technology
AEVA,Aeva Technologies  Inc.,Technology
DK,Delek US Holdings  Inc.,Energy
MFA,MFA Financial  Inc.,Real Estate
GPRE,Green Plains Inc.,Basic Materials
LZ,LegalZoom.com  Inc.,Industrials
BGS,B&G Foods  Inc.,Consumer Defensive
WTI,W&T Offshore  Inc.,Energy
SCS,Steelcase Inc.,Consumer Cyclical
SBH,Sally Beauty Holdings  Inc.,Consumer Cyclical
GTN,Gray Media  Inc.,Communication Services
JACK,Jack in the Box Inc.,Consumer Cyclical
BDN,Brandywine Realty Trust,Real Estate
